
===== Threads: 1 =====
Total Interpolation Time = 0.312551 seconds
Total Normalization Time = 0.001962 seconds
Total Mover Time = 0.375694 seconds
Total Denormalization Time = 0.000776 seconds
Total Algorithm Time = 0.690983 seconds
Total Number of Voids = 4

===== Threads: 2 =====
Total Interpolation Time = 0.169882 seconds
Total Normalization Time = 0.001084 seconds
Total Mover Time = 0.200946 seconds
Total Denormalization Time = 0.000495 seconds
Total Algorithm Time = 0.372408 seconds
Total Number of Voids = 7

===== Threads: 4 =====
Total Interpolation Time = 0.088507 seconds
Total Normalization Time = 0.000615 seconds
Total Mover Time = 0.102038 seconds
Total Denormalization Time = 0.000416 seconds
Total Algorithm Time = 0.191576 seconds
Total Number of Voids = 8

===== Threads: 8 =====
Total Interpolation Time = 0.054237 seconds
Total Normalization Time = 0.000469 seconds
Total Mover Time = 0.054554 seconds
Total Denormalization Time = 0.000315 seconds
Total Algorithm Time = 0.109575 seconds
Total Number of Voids = 10

===== Threads: 16 =====
Total Interpolation Time = 0.055411 seconds
Total Normalization Time = 0.000826 seconds
Total Mover Time = 0.045434 seconds
Total Denormalization Time = 0.000346 seconds
Total Algorithm Time = 0.102017 seconds
Total Number of Voids = 13
